"Variable","n_runs"
"Price|Agriculture|Non-Energy Crops and Livestock|Index",171
"Price|Agriculture|Non-Energy Crops|Index",171
"Price|Agriculture|Soybean|Index",37
"Price|Agriculture|Wheat|Index",37
"Price|Carbon",378
"Price|Final Energy|Residential|Electricity",38
"Price|Final Energy|Residential|Gases|Natural Gas",38
"Price|Final Energy|Residential|Liquids|Biomass",38
"Price|Final Energy|Residential|Liquids|Oil",38
"Price|Final Energy|Residential|Solids|Biomass",32
"Price|Final Energy|Residential|Solids|Coal",38
"Price|Primary Energy|Biomass",73
"Price|Primary Energy|Coal",139
"Price|Primary Energy|Gas",139
"Price|Primary Energy|Oil",139
"Price|Secondary Energy|Electricity",135
"Price|Secondary Energy|Gases|Natural Gas",61
"Price|Secondary Energy|Hydrogen",42
"Price|Secondary Energy|Liquids",48
"Price|Secondary Energy|Liquids|Biomass",89
"Price|Secondary Energy|Liquids|Oil",53
"Price|Secondary Energy|Solids|Biomass",11
"Price|Secondary Energy|Solids|Coal",53
"Primary Energy",409
"Primary Energy|Biomass",409
"Primary Energy|Biomass|Electricity",137
"Primary Energy|Biomass|Electricity|w/ CCS",128
"Primary Energy|Biomass|Electricity|w/o CCS",136
"Primary Energy|Biomass|Modern",192
"Primary Energy|Biomass|Modern|w/ CCS",278
"Primary Energy|Biomass|Modern|w/o CCS",261
"Primary Energy|Biomass|Traditional",209
"Primary Energy|Coal",409
"Primary Energy|Coal|Electricity",51
"Primary Energy|Coal|Electricity|w/ CCS",48
"Primary Energy|Coal|Electricity|w/o CCS",50
"Primary Energy|Coal|w/ CCS",380
"Primary Energy|Coal|w/o CCS",404
"Primary Energy|Fossil",408
"Primary Energy|Fossil|w/ CCS",326
"Primary Energy|Fossil|w/o CCS",369
"Primary Energy|Gas",409
"Primary Energy|Gas|Electricity",51
"Primary Energy|Gas|Electricity|w/ CCS",48
"Primary Energy|Gas|Electricity|w/o CCS",50
"Primary Energy|Gas|w/ CCS",379
"Primary Energy|Gas|w/o CCS",404
"Primary Energy|Geothermal",241
"Primary Energy|Hydro",315
"Primary Energy|Non-Biomass Renewables",409
"Primary Energy|Nuclear",408
"Primary Energy|Ocean",26
"Primary Energy|Oil",409
"Primary Energy|Oil|w/ CCS",202
"Primary Energy|Oil|w/o CCS",384
"Primary Energy|Other",185
"Primary Energy|Secondary Energy Trade",127
"Primary Energy|Solar",315
"Primary Energy|Wind",315
"Secondary Energy|Electricity",409
"Secondary Energy|Electricity|Biomass",409
"Secondary Energy|Electricity|Biomass|w/ CCS",375
"Secondary Energy|Electricity|Biomass|w/o CCS",405
"Secondary Energy|Electricity|Coal",409
"Secondary Energy|Electricity|Coal|w/ CCS",382
"Secondary Energy|Electricity|Coal|w/o CCS",406
"Secondary Energy|Electricity|Fossil",1
